Batman Forever,1995,PG-13,16 Jun 1995,121 min,"Action, Adventure",Joel Schumacher,"Bob Kane, Lee Batchler, Janet Scott Batchler","Val Kilmer, Tommy Lee Jones, Jim Carrey","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",English,"United States, United Kingdom",Nominated for 3 Oscars. 10 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BNDdjYmFiYWEtYzBhZS00YTZkLWFlODgtY2I5MDE0NzZmMDljXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Belle de Jour,1967,R,10 Apr 1968,100 min,"Drama, Romance",Luis Buñuel,"Joseph Kessel, Luis Buñuel, Jean-Claude Carrière","Catherine Deneuve, Jean Sorel, Michel Piccoli",A frigid young housewife decides to spend her midweek afternoons as a prostitute.,"French, Spanish","France, Italy",Nominated for 1 BAFTA Award6 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYjJiMGEwYTQtOGM0Ni00ZDQ0LThlNWItNzgwNTBlYmE1YzdjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Beyond Rangoon,1995,R,25 Aug 1995,100 min,"Action, Adventure, Drama",John Boorman,"Alex Lasker, Bill Rubenstein","Patricia Arquette, U Aung Ko, Frances McDormand","Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she is left on her own for a few days, durin...",English,"United Kingdom, United States",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNThiM2NjYjAtNzIzOC00NTY3LWIxZGEtMDkzMmEzMGJhZTE0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Blue in the Face,1995,R,13 Oct 1995,83 min,Comedy,"Paul Auster, Wayne Wang, Harvey Wang","Paul Auster, Wayne Wang","Harvey Keitel, Lou Reed, Michael J. Fox","Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYzlkYTMwYWYtOGFiMy00N2U3LThkYTMtYWEyZWY5MTIyY2E4XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg
Canadian Bacon,1995,PG,22 Sep 1995,91 min,"Action, Comedy",Michael Moore,Michael Moore,"John Candy, Alan Alda, Rhea Perlman","The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",English,"United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMTUwNDU0NzcwMl5BMl5BanBnXkFtZTcwNzk1NjAzNA@@._V1_SX300.jpg
Casper,1995,PG,26 May 1995,100 min,"Comedy, Family, Fantasy",Brad Silberling,"Joseph Oriolo, Sherri Stoner, Deanna Oliver","Bill Pullman, Christina Ricci, Cathy Moriarty",An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,English,United States,5 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZmQzZThjNDQtMjAxNC00YzhjLWFkNmItZDg4NjkxNjZkMjMxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Clockers,1995,R,13 Sep 1995,128 min,"Crime, Drama, Mystery",Spike Lee,"Richard Price, Spike Lee","Harvey Keitel, John Turturro, Delroy Lindo","Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",English,United States,6 nominations,https://m.media-amazon.com/images/M/MV5BY2JmNTUyYWQtMTZhMy00YTE4LTllNGItMDZmNTBiZTkyNjE2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Congo,1995,PG-13,09 Jun 1995,109 min,"Action, Adventure, Mystery",Frank Marshall,"Michael Crichton, John Patrick Shanley","Laura Linney, Tim Curry, Dylan Walsh","When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.","English, American Sign ",United States,2 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Crimson Tide,1995,R,12 May 1995,116 min,"Action, Drama, Thriller",Tony Scott,"Michael Schiffer, Richard P. Henrick","Gene Hackman, Denzel Washington, Matt Craven","On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",English,United States,Nominated for 3 Oscars. 5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Crumb,1994,R,28 Apr 1995,119 min,"Documentary, Biography, Comedy",Terry Zwigoff,N/A,"Robert Crumb, Aline Kominsky-Crumb, Charles Crumb",An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,English,United States,18 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNmQ5ZjEyMWItYzFjOC00YzQxLTk2ZTYtMWQzNTg1MWY2NmI3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Desperado,1995,R,25 Aug 1995,104 min,"Action, Crime, Drama",Robert Rodriguez,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"English, Spanish","United States, Mexico",1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Devil in a Blue Dress,1995,R,29 Sep 1995,102 min,"Crime, Drama, Mystery",Carl Franklin,"Walter Mosley, Carl Franklin","Denzel Washington, Tom Sizemore, Jennifer Beals","An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal.",English,United States,3 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMmFjZjllZTQtZjQ0ZS00Y2M1LWI1NjYtYjQ2YzczOTQyMjJjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Die Hard with a Vengeance,1995,R,19 May 1995,128 min,"Action, Adventure, Thriller",John McTiernan,"Jonathan Hensleigh, Roderick Thorp","Bruce Willis, Jeremy Irons, Samuel L. Jackson","John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.","English, German, Romanian",United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Doom Generation,1995,R,27 Oct 1995,83 min,"Comedy, Crime, Drama",Gregg Araki,Gregg Araki,"James Duval, Rose McGowan, Johnathon Schaech","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",English,"United States, France",2 nominations,https://m.media-amazon.com/images/M/MV5BYjEwZDUyODktOGVmOC00ZjIyLTlmM2YtZDZjY2Y2ZWE4ZjMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
First Knight,1995,PG-13,07 Jul 1995,134 min,"Action, Adventure, Drama",Jerry Zucker,"Lorne Cameron, David Hoselton, William Nicholson","Sean Connery, Richard Gere, Julia Ormond","Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BNzQ1MDU2ZWUtMmYzOS00ZWExLTk4M2QtNzE5MTFkZTNmZTJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Free Willy 2: The Adventure Home,1995,PG,19 Jul 1995,95 min,"Adventure, Drama, Family",Dwight H. Little,"Karen Janszen, Corey Blechman, John Mattson","Jason James Richter, Michael Madsen, Francis Capra",Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,"English, Danish, Malay, Dutch, Indonesian, Finnish, Luxembourgish, French Sign ","France, United States",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZmZlNDBmMzctNmJiOC00YWZkLTk4MzYtOTU4NzZkMmUxMDRjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Hackers,1995,PG-13,15 Sep 1995,105 min,"Crime, Drama, Romance",Iain Softley,Rafael Moreu,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford",Hackers are blamed for making a virus that will capsize five oil tankers.,"English, Italian, Spanish, Japanese, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BNmExMTkyYjItZTg0YS00NWYzLTkwMjItZWJiOWQ2M2ZkYjE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Jeffrey,1995,R,18 Aug 1995,92 min,"Comedy, Drama",Christopher Ashley,Paul Rudnick,"Steven Weber, Michael T. Weiss, Peter Jacobson",A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMWM0ODdjOWEtOTJhYy00NmQ0LThmOTctMDNmZTEwNzA5MGM1XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
Johnny Mnemonic,1995,R,26 May 1995,96 min,"Action, Drama, Sci-Fi",Robert Longo,William Gibson,"Keanu Reeves, Dolph Lundgren, Dina Meyer","A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.","English, Japanese","Canada, United States",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNTdhYjEzYTEtYTkwZC00NzgxLWI0ZWEtYmEyMGZhOWYwMjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Judge Dredd,1995,R,30 Jun 1995,96 min,"Action, Crime, Sci-Fi",Danny Cannon,"John Wagner, Carlos Ezquerra, Michael De Luca","Sylvester Stallone, Armand Assante, Rob Schneider","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",English,"United States, Netherlands, United Kingdom",2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BYmM1NzUyY2YtOTU4My00ZmFmLWI4ZjYtYzJlM2JlOTBhZmIzXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Jury Duty,1995,PG-13,12 Apr 1995,88 min,Comedy,John Fortenberry,"Barbara Williams, Samantha Adams, Neil Tolkin","Pauly Shore, Tia Carrere, Stanley Tucci",Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BN2RlNGM4NjEtNjUxZC00YjA2LThjYjQtMDdkNDA1YzNlNzJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Kids,1995,NC-17,01 Sep 1995,91 min,Drama,Larry Clark,"Harmony Korine, Larry Clark","Leo Fitzpatrick, Justin Pierce, Chloë Sevigny","A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.","Spanish, English",United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BNTNmN2QyNTgtMTk0ZC00NmFhLWJlNzctZmMyYTczZTYyMzA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Living in Oblivion,1995,R,21 Jul 1995,90 min,"Comedy, Drama",Tom DiCillo,Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney",This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,English,United States,7 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BN2U2MDdjZjUtMGU1Ni00MzlkLTllZWQtZmJjNzJmYjE5YjAxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Lord of Illusions,1995,R,25 Aug 1995,109 min,"Horror, Mystery, Thriller",Clive Barker,Clive Barker,"Scott Bakula, Kevin J. O'Connor, J. Trevor Edmond","A private detective gets more than he bargains for when he encounters Philip Swan, a performer whose amazing illusions captivate the world, but they are not really what everyone thinks.",English,"United States, United Kingdom",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNDg1OTc0MDQwNl5BMl5BanBnXkFtZTcwMjQ3NDk0NA@@._V1_SX300.jpg
Love & Human Remains,1993,R,23 Jun 1995,100 min,"Comedy, Drama",Denys Arcand,Brad Fraser,"Thomas Gibson, Ruth Marshall, Cameron Bancroft","Set in a dreary urban landscape of Edmonton, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on roommates David, a gay waiter who has has given u...",English,Canada,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYzU2ZjUxYWMtOWU5OC00MjVkLThiMTMtNzhhODg4YjAzMjIyXkEyXkFqcGdeQXVyMjE3MTA1Mw@@._V1_SX300.jpg
Mad Love,1995,PG-13,26 May 1995,93 min,"Comedy, Drama, Romance",Antonia Bird,Paula Milne,"Chris O'Donnell, Drew Barrymore, Matthew Lillard",The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOThlOGJjYWEtMGFmOS00ZjBlLWIwZmUtNzdlNjIxNTU2NDcwL2ltYWdlXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_SX300.jpg
Mallrats,1995,R,20 Oct 1995,94 min,"Comedy, Romance",Kevin Smith,Kevin Smith,"Shannen Doherty, Jeremy London, Jason Lee","Both dumped by their girlfriends, two best friends seek refuge in the local mall.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzAwNmMyNTEtZWI2MC00OTYzLWFlYzYtMmQ0MTdhYTYwNjNhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Mighty Morphin Power Rangers,1995,PG,30 Jun 1995,95 min,"Action, Adventure, Family",Bryan Spicer,"John Kamps, Arne Olsen","Karan Ashley, Johnny Yong Bosch, Steve Cardenas","A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a di...",English,"United States, Japan, Australia, New Zealand",1 nomination,https://m.media-amazon.com/images/M/MV5BN2I2Y2I5N2MtMzJhMy00NzE2LThlMzEtNGE0ODA4M2JhOWNiXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
Mute Witness,1995,R,15 Sep 1995,95 min,"Crime, Horror, Thriller",Anthony Waller,Anthony Waller,"Marina Zudina, Fay Ripley, Evan Richards","A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture.","English, Russian","United Kingdom, Russia, Germany",3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNTJkYWU2MjQtMGI4Ny00MGZjLWIzN2QtZDFmYWFkNDQ2NzJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Nadja,1994,R,01 Sep 1995,93 min,"Drama, Horror",Michael Almereyda,Michael Almereyda,"Elina Löwensohn, Peter Fonda, Nic Ratner","This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are bei...",English,United States,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BYWRkYTBkZmQtNTM4OS00MTMxLThiNTEtYzJmMjE2Zjg3ODIyXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg
The Net,1995,PG-13,28 Jul 1995,114 min,"Action, Crime, Drama",Irwin Winkler,"John Brancato, Michael Ferris","Sandra Bullock, Jeremy Northam, Dennis Miller","A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.","English, Spanish",United States,2 wins,https://m.media-amazon.com/images/M/MV5BNjE4MjQyNjUtZTNmYy00ZmNlLTk2ODUtN2YzODIwNDdkM2EwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Nine Months,1995,PG-13,12 Jul 1995,103 min,"Comedy, Romance",Chris Columbus,"Patrick Braoudé, Chris Columbus","Hugh Grant, Julianne Moore, Tom Arnold","When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.","English, Russian",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BY2U3YTQzYWYtZTBlYi00ZmJjLTkzMjAtOTljYmE5MThhNzk5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Party Girl,1995,R,09 Jun 1995,94 min,"Comedy, Drama, Romance",Daisy von Scherler Mayer,"Harry Birckmayer, Daisy von Scherler Mayer, Sheila Gaffney","Parker Posey, Omar Townsend, The Lady Bunny","A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around.","English, Arabic",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNDkxZTY2YzctMDkxNy00NzA0LWE3MDYtNmRlMGQyZGNjZWIxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
The Prophecy,1995,R,01 Sep 1995,98 min,"Action, Crime, Drama",Gregory Widen,Gregory Widen,"Christopher Walken, Elias Koteas, Virginia Madsen","At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school ...","English, Spanish, Latin",United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZjM4N2I0ZjYtMTFmNC00ZGQ0LWIzNmMtZDZjNzIwOGM1NzA0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Reckless,1995,PG-13,17 Nov 1995,91 min,"Comedy, Drama, Fantasy",Norman René,Craig Lucas,"Mia Farrow, Tony Goldwyn, Juana Barrios","On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk4ODEzNDktM2U1ZC00MjhiLWEyMTgtNmI2NGM0ZWE3MTE2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
Safe,1995,R,30 Jun 1995,119 min,Drama,Todd Haynes,Todd Haynes,"Julianne Moore, Xander Berkeley, Dean Norris",An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,"English, Spanish","United States, United Kingdom",4 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BODliOWEzMTUtZDQ5ZS00ZTBmLTgzNzEtMGVkOTlhYWNkYjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Scarlet Letter,1995,R,13 Oct 1995,135 min,"Drama, Romance",Roland Joffé,"Nathaniel Hawthorne, Douglas Day Stewart","Demi Moore, Gary Oldman, Robert Duvall",An affair between a young woman and a pastor has disastrous consequences.,English,United States,1 win & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTkxOWQ0OWMtY2E5YS00YjkzLWFjODQtZGY4NTQ5YmE2OGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Showgirls,1995,NC-17,22 Sep 1995,128 min,Drama,Paul Verhoeven,Joe Eszterhas,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon","Carefree young drifter Nomi arrives in Las Vegas, Nevada to become a dancer and sets about clawing her way to the top of the Vegas showgirls.",English,"France, United States",10 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@._V1_SX300.jpg
Smoke,1995,R,09 Jun 1995,112 min,"Comedy, Drama",Wayne Wang,Paul Auster,"Harvey Keitel, William Hurt, Giancarlo Esposito","A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",English,"Germany, Japan, United States",12 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMjUwYTdiYjItNTgzNS00MmQ3LWJlMDctODMyNTkxMjIxMDgwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Something to Talk About,1995,R,04 Aug 1995,106 min,"Comedy, Drama, Romance",Lasse Hallström,Callie Khouri,"Julia Roberts, Dennis Quaid, Robert Duvall",A woman's world is rocked when she discovers her husband is cheating on her.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDhmOTczMjItMzg5NS00OTFiLWEzYTctMjAxMTZmMWVmMmQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Species,1995,R,07 Jul 1995,108 min,"Action, Horror, Sci-Fi",Roger Donaldson,Dennis Feldman,"Natasha Henstridge, Michael Madsen, Ben Kingsley",A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,English,United States,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMjEzOTkxNTcyM15BMl5BanBnXkFtZTcwOTk0MjI3NA@@._V1_SX300.jpg
Strange Days,1995,R,13 Oct 1995,145 min,"Crime, Drama, Sci-Fi",Kathryn Bigelow,"James Cameron, Jay Cocks","Ralph Fiennes, Angela Bassett, Juliette Lewis",A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BODFkMTBmNjktMjM1Yy00MjY5LTliMGEtM2FhYjE2YjRmN2RkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
The Umbrellas of Cherbourg,1964,Not Rated,16 Dec 1964,91 min,"Drama, Musical, Romance",Jacques Demy,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon",A young woman separated from her lover by war faces a life-altering decision.,"French, English","France, West Germany",Nominated for 5 Oscars. 6 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTgyOGE4ZDEtZWFmYi00NTQ1LWE0YzgtZGUyODJjODhkZDBhXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Three Wishes,1995,PG,27 Oct 1995,115 min,"Drama, Family, Fantasy",Martha Coolidge,"Clifford Green, Ellen Green, Elizabeth Anderson","Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello","In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realizing who he was, or the effect he would have on her life and those of her family.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYTkxYTNjZDUtYWFhYi00NjQ4LWE2YjMtYmU2YjMyZjQwODkxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Total Eclipse,1995,R,03 Nov 1995,111 min,"Biography, Drama, Romance",Agnieszka Holland,Christopher Hampton,"Leonardo DiCaprio, David Thewlis, Romane Bohringer","Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",English,"France, United Kingdom, Belgium",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BOTdiMDEyM2ItOWYzYS00OTM1LWFlYWEtZjdhNWNhNzZmNTQyXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_SX300.jpg
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,PG-13,08 Sep 1995,109 min,"Comedy, Drama",Beeban Kidron,Douglas Carter Beane,"Wesley Snipes, Patrick Swayze, John Leguizamo","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.","English, French, Italian",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BYjZmOTU3MjYtY2NhNi00ZmMxLWE5ZDgtNGVlYjVmOWMxYzI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Under Siege 2: Dark Territory,1995,R,14 Jul 1995,100 min,"Action, Adventure, Thriller",Geoff Murphy,"Richard Hatem, Matt Reeves, J.F. Lawton","Steven Seagal, Eric Bogosian, Everett McGill","Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWFjNzhjZTYtMmYxOS00YTBhLTkxM2YtYTVjMGQwYzMzYWU1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Unstrung Heroes,1995,PG,22 Sep 1995,93 min,"Comedy, Drama",Diane Keaton,"Franz Lidz, Richard LaGravenese","Andie MacDowell, John Turturro, Michael Richards","When a youngster needs a break from the pressures of his parents' household, he moves in with his offbeat uncles and learns some invaluable life lessons.",English,United States,Nominated for 1 Oscar. 3 nominations total,https://m.media-amazon.com/images/M/MV5BNGI4YWI4YmYtZTAyMS00NGE0LThlMDUtNmQ1OTcyMGUwNTM1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Unzipped,1995,R,11 Aug 1995,73 min,Documentary,Douglas Keeve,N/A,"Isaac Mizrahi, Roseanne Barr, Sandra Bernhard",One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.,"English, French",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNjU0NzFiNTgtNWNhMS00MWIzLWFiMDMtMDQ1ODZjZDAyN2VhL2ltYWdlXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_SX300.jpg
A Walk in the Clouds,1995,PG-13,11 Aug 1995,102 min,"Drama, Romance",Alfonso Arau,"Robert Mark Kamen, Mark Miller, Harvey Weitzman","Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn",A married soldier returning from World War II poses as a pregnant woman's husband to save her from her father's anger and honor.,English,"United States, Mexico",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BNGQ5NzI2NWQtODVjZi00NDk1LTg1NmMtZDVlNWMwODZmNGI4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Waterworld,1995,PG-13,28 Jul 1995,177 min,"Action, Adventure, Sci-Fi",Kevin Reynolds,"Peter Rader, David Twohy","Kevin Costner, Jeanne Tripplehorn, Dennis Hopper","In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",English,United States,Nominated for 1 Oscar. 6 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
